Rank,NASA,TA,E,A,C,N,O,AC,EC,TC,H,RS,WH,TWR,BF,NP,FA,SR,AP,AR,DWH,DWR,T,DS,FC
2,26,24,4,8,10,2,6,19,8,33,34,1,2,70,1,3,2,1,2,3,2,70,2,1,4
3,26,45,9,7,8,4,5,25,24,27,26,2,2,20,1,2,2,1,1,3,2,70,1,2,5
3,26,45,3,7,8,4,8,17,9,29,49,2,2,70,1,3,1,1,2,2,1,60,2,1,4
2,28,34,2,6,7,4,6,11,15,33,18,2,2,50,2,2,2,2,2,5,2,80,1,2,4
2,25,52,6,8,8,7,8,17,26,26,18,1,1,30,1,2,6,2,2,2,2,70,2,2,2
2,20,50,6,5,10,7,10,25,22,30,14,2,2,40,1,3,1,1,2,2,2,70,1,2,4
1,25,50,5,7,7,7,10,29,18,27,8,1,2,60,2,3,1,1,2,4,2,50,1,2,2
1,23,62,5,9,10,8,5,15,28,31,6,1,2,40,2,1,1,6,2,5,1,40,2,1,6
3,18,66,10,4,10,10,9,20,28,22,34,1,2,70,1,2,1,3,2,2,2,90,1,2,6
2,22,61,6,6,7,9,9,27,29,29,9,2,2,50,1,1,1,5,2,1,2,60,2,1,2
1,28,41,8,9,9,8,8,11,21,35,9,2,2,30,2,2,1,1,1,5,2,90,1,2,2
3,21,46,3,7,9,6,10,17,16,26,120,1,2,50,1,1,1,7,1,5,2,70,2,1,5
1,18,42,5,5,9,5,7,13,15,28,21,2,2,60,1,3,1,2,2,2,2,70,1,1,5
3,17,34,8,5,9,4,8,19,17,31,66,1,2,30,1,2,2,1,2,2,2,50,2,2,2
3,20,56,10,6,9,6,9,15,18,30,32,2,2,50,1,1,1,4,2,2,2,70,2,2,2
1,25,36,3,8,6,5,6,25,10,24,28,1,2,60,2,3,1,4,2,1,2,80,1,2,6
3,24,37,5,5,9,6,10,19,16,30,17,2,2,50,2,2,2,2,2,5,2,70,2,1,3
1,31,33,9,6,10,6,9,26,11,32,8,2,2,40,1,2,2,1,2,4,2,80,1,2,1
3,18,30,7,8,7,6,7,28,20,31,51,2,2,40,1,2,1,1,2,3,2,60,2,2,2
2,23,48,9,3,8,9,6,14,30,29,29,1,2,40,2,2,1,1,1,3,2,40,1,2,3
1,24,41,10,10,10,4,6,19,14,30,12,2,2,50,2,3,1,1,1,3,2,80,1,2,3
2,19,22,7,9,9,2,10,16,11,30,34,2,1,60,1,1,1,4,2,4,2,80,2,1,1
3,23,30,4,10,10,3,7,17,14,16,26,2,2,60,2,1,1,3,2,3,2,20,2,2,1
2,24,42,7,8,6,4,6,25,12,32,23,2,2,20,2,1,4,3,2,4,2,60,2,2,1
3,25,34,9,8,10,3,6,24,18,26,27,2,2,60,1,3,3,3,2,4,2,90,2,2,6
3,22,45,2,7,5,4,6,15,20,22,36,1,2,50,1,2,1,2,1,3,2,80,1,2,6
3,17,34,10,7,9,4,10,27,10,30,35,2,2,50,1,1,1,3,2,2,2,50,2,1,2
1,29,58,4,7,10,7,6,22,23,29,9,1,2,30,2,2,6,4,2,5,2,60,1,2,6
3,14,29,4,9,6,3,7,12,10,31,30,2,2,20,2,1,2,4,2,4,1,20,2,1,6
2,26,62,2,9,8,9,10,17,32,29,20,1,2,40,1,1,1,3,2,4,2,90,2,2,3
2,31,31,10,8,7,7,6,21,20,32,23,2,2,40,2,3,1,1,2,2,2,70,1,2,6
